48efcfc2382ae91c65a509bcb1323a88üSean Michael KernerüJedi, eWeek / InternetNews / eSecurity Planet
8240a0b1edf76c33818e80a7304f45a0üHarshal PatilüAdvisory Systems Software Engineer, IBM
8b2a7890d8f0e433ea36915ee86f26edüDiem VuüSoftware Engineer, Google
8b2a7890d8f0e433ea36915ee86f26edüQuanjie LinüSoftware Engineer, Google
a350f0ecda6c58da9ece1fe44bd0b412üKevin LingerfeltüSoftware Engineer, Buoyant
5dd395d7c09464d130b98aafb305620büBob KillenüResearch Cloud Administrator, University of Michigan
5dd395d7c09464d130b98aafb305620büLindsey TullochüStudent, Brock University
ce66c6f25b7ac6e731639447b54337d4üAllison RichardetüSoftware Engineer, OCI
ce66c6f25b7ac6e731639447b54337d4üIvan PedrazasüSolutions Architect, State Street
ce66c6f25b7ac6e731639447b54337d4üAlexis RichardsonüFounder & CEO, Weaveworks
ce66c6f25b7ac6e731639447b54337d4üLaura TachoüDirector of Engineering, CloudBees
ce66c6f25b7ac6e731639447b54337d4üTracy MirandaüDirector of Open Source Community, CloudBees
77c44d7ac32efd41f0f70d300c82b41eüDavid BenqueüSenior Software Engineer, Amadeus
77c44d7ac32efd41f0f70d300c82b41eüCédric LamorinièreüPrincipal Software Engineer, Datadog
0583e545ff4397696f4449024a7c54acüPhillip WittrocküSWE, Google
0583e545ff4397696f4449024a7c54acüMaciej SzuliküSoftware Engineer, Red Hat
a1a0216bec9829ce61063410a09fa713üDaniel GarciaüSaaS Architect, Infoblox
a1a0216bec9829ce61063410a09fa713üMichael GrosserüFounder, Okkur Labs
2ad9f9a94a2c9f03a6a0a80a1a55d3faüMasahiro NakagawaüPrincipal Engineer, ARM Treasure Data
ad277b0dda2c91f1025658608a658589üDejan BosanacüSoftware Engineer, Red Hat
ad277b0dda2c91f1025658608a658589üCindy XingüSenior Cloud Software Architect 高级云软件架构师, Futurewei
939a878805f79fbd080be98e25b84c02üDavid vonThenenüCloud Native Engineer, VMware
939a878805f79fbd080be98e25b84c02üSteven WongüOpen Source Community Relations Engineer, VMware
733f65132c1961b9b3223893fd6aa29füWaldemar QuevedoüSoftware Engineer, Synadia Communications, Inc
6c58c113285d32b1d3810563d43b6072üCole WagnerüSoftware Engineer, Google
6c58c113285d32b1d3810563d43b6072üAishwarya SundarüGKE /OSS Test Engineer, Google
83f5dfffcbd7c5dd75284ceeea2331d8üJan TattermuschüSenior Software Engineer, Google
ad66e761bc52946417198e8a4e64eaf1üDavid EadsüSenior Principal Software Engineer, Red Hat
ad66e761bc52946417198e8a4e64eaf1üStefan SchimanskiüPrincipal Software Engineer, Red Hat
1f082bcc172bbfdf88f46a2a2399737büWojciech TyczynskiüStaff Software Engineer, Google
1f082bcc172bbfdf88f46a2a2399737büMinhan XiaüSoftware Engineer, Google
8795d700c00ade4fe49923db8dc5df0füVallery LanceyüInfrastructure Software Engineer, Lyft
8795d700c00ade4fe49923db8dc5df0füSeth McCombsüSite Reliability Engineer, Triller
22b28f1da4b7c70406c75447c17547dfüMohsen RezaeiüStaff Software Engineer, WePay
f28d7ba24b5974a6b643dd75502e57c3üBen SigelmanüCEO and Co-founder, LightStep
f28d7ba24b5974a6b643dd75502e57c3üBogdan DrutuüGoogle
f28d7ba24b5974a6b643dd75502e57c3üSpiros XanthosüFounder and CEO, Omnition
1a5444811d21e6aba71c6c3430290e7düRandy AbernethyüManaging Partner, RX-M, LLC
7f6b25e8e51af27c8bf728ffaac26881üMichael HoughüSoftware Engineer, IBM
7f6b25e8e51af27c8bf728ffaac26881üSam IrvineüInfrastructure Engineer, ControlPlane
626425e1ab0f5e2de91f5fa7166d017aüMichelle CasbonüSenior Engineer, Google
626425e1ab0f5e2de91f5fa7166d017aüDan AnghelüStrategic Cloud Engineer, Google
626425e1ab0f5e2de91f5fa7166d017aüMichal ZylinskiüCloud Customer Engineer, Google
626425e1ab0f5e2de91f5fa7166d017aüDan SancheüDeveloper Programs Engineer, Google
c2a4d0dd9347a77596c0d7917b977c11üChristian RoggiaüBackend Software Engineer, Engel & Völkers Technology GmbH
9e197cac5a5fd60d551e8f9ed5c50d17üJosh RossoüStaff Field Engineer, VMware
9e197cac5a5fd60d551e8f9ed5c50d17üCraig TraceyüStaff Field Engineer, VMware
f05f85dc745ac9f845e833f5a51c40dbüGregg DonovanüStaff Software Engineer, Etsy.com, Inc.
f05f85dc745ac9f845e833f5a51c40dbüChris LoveüFounder, CNM Consulting
eaf44ee1917135763f794d4ec5b5703aüJason MurrayüCloud Infrastructure Engineer, iNNOVO Cloud GmbH
eaf44ee1917135763f794d4ec5b5703aüNikhita RaghunathüSoftware Engineer, Loodse
eaf44ee1917135763f794d4ec5b5703aüKris NovaüIndependent
eaf44ee1917135763f794d4ec5b5703aüJames MunnellyüSolutions Engineer, Jetstack.io
eaf44ee1917135763f794d4ec5b5703aüCyrine JabriüCloud Infrastructure Engineer, iNNOVO Cloud GmbH
56586b09af54b617c5b662db75f7786aüDaniel SmithüStaff Software Engineer, Google
3e8f6b5af19bf65b5844e1c67287c643üTerence LeeüPrincipal Languages Engineer, Heroku
3e8f6b5af19bf65b5844e1c67287c643üStephen LevineüStaff Software Engineer, Pivotal
f397d79b6a8db51d40fbc2d0a6748934üJorge Salamero SanzüDirector of Technical Marketing, Sysdig
c93be9cf5c877763e2dddb1c143a77bfü(Haining Henry) ZhangüTechnical Director, VMware
c93be9cf5c877763e2dddb1c143a77bfüSteven RenüSenior Manager, VMware
f150c6def16354f6413475c03cd08b27üJaice Singer DuMarsüCloud Native Strategy Program Manager, Google
edee17423a91d309d926d634eaadf9beüRita ZhangüPrincipal Software Engineer, Microsoft
edee17423a91d309d926d634eaadf9beüMax SmytheüSoftware Engineer, Google
10c73775b8d8dde826e6f26146228456üJustin CapposüProfessor, New York University
10c73775b8d8dde826e6f26146228456üJustin CormacküSecurity Engineer, Docker
df5fa6b203abc37238d2ed84ba2cfb2cüMikkel LarsenüSenior Software Engineer, Zalando SE
ade2d0c140d70cf3a1056d769555c343üMiguel MartinezüSenior Software Engineer, Bitnami
afaeb40f993502fd0a80d1ac63272526üÁlex GonzálezüTech lead, BBVA Next Technologies
afaeb40f993502fd0a80d1ac63272526üHéctor Rodes LópezüCTO, Adhara
57b407ee63593d7bd1e72297e377ba2büDan BergüDistinguished Engineer, IBM
57b407ee63593d7bd1e72297e377ba2büRam VennamüProduct Manager for IBM Cloud and Istio, IBM
76b850a9511525b6bd606976ba3c6eadüMichael ElderüDistinguished Engineer, IBM
76b850a9511525b6bd606976ba3c6eadüBrad TopolüDistinguished Engineer, IBM
ed8389bdbd1a72b8903942393542f8d9üJohn StudarusüCloud Architect, JHL Consulting
fdd59c974fdeec56901d9fb6c9e23fb2üJennifer BuckleyüSoftware Engineer, Google
fdd59c974fdeec56901d9fb6c9e23fb2üPhillip WittrocküSWE, Google
b30ac663d7c4dc30ade09d66260fbb12üCaleb MilesüTechnical Program Manager, Open Source Strategy, Google
c6841464cd56e2212b28f141c8471746üAdrien TrouillaudüFounder and CEO, Admiralty
d8d5e9a6589814d93c63e3d4f4cdb998üCheryl HungüDirector of Ecosystem, CNCF
fafcc597cd49c73b584b32e15ddf0510üSylvain HellegouarchüCTO, ChaosIQ
06c403589ebddeed1a4d8825691adbb2üTimothy St. ClairüKubernetes Steering Committee Member, VMware
06c403589ebddeed1a4d8825691adbb2üLucas KäldströmüCNCF Ambassador, Independent
6ac83cf45e37ff117b6068b166fbee6eüJeyappragash Jeyakeerthiütetrate.io
6ac83cf45e37ff117b6068b166fbee6eüSarah Allenü
4bfd0cd9fee9bc72e08797661ed3bd95üElsie PhillipsüProduct Marketing Manager, Red Hat
4bfd0cd9fee9bc72e08797661ed3bd95üParis PittmanüKubernetes OSS Strategy, Google
32b78404a256dac0205668b43a5f803aüZuozheng HuüSenior Software Engineer, Alibaba Group
32b78404a256dac0205668b43a5f803aüAllen SunüSenior Software Engineer, Alibaba Cloud
1380085bfceae56d071b2b612bd617bcüStephen AugustusüSr. Cloud Native Architect, VMware
1380085bfceae56d071b2b612bd617bcüIhor DvoretskyiüDeveloper Advocate, Cloud Native Computing Foundation
5fbb918a309a0d6e2a56de5a769c92f0üTravis NielsenüSenior Principal Software Engineer, Red Hat
5fbb918a309a0d6e2a56de5a769c92f0üAlexander TrostüDevOps Engineer, Cloudibility
2fc24d254a00c07252c997d8159501baüRia BhatiaüProgram Manager, Microsoft
2fc24d254a00c07252c997d8159501baüAnubhav MishraüDeveloper Advocate, HashiCorp
9366cbdff27ed2500e7d132ec130443cüDavid AronchicküProgram Manager, Microsoft
9366cbdff27ed2500e7d132ec130443cüYaron HavivüCTO, Iguazio
646b0925e129037f5908ef81b3422387üMark StemmüSenior Software Engineer, Sysdig
2692b58cd8b2a0f97ae704b3c4f20112üDan WendlandtüCEO, Isovalent
d182a63bbc9fe3112291d6d84db3bdd0üJonas BonérüFounder & CTO, Lightbend Inc.
f2f331ad8f573c0ec43b174b06c84798üLin SunüSenior Technical Staff Member, IBM
f2f331ad8f573c0ec43b174b06c84798üZack ButcherüFounding Engineer, Tetrate
f2f331ad8f573c0ec43b174b06c84798üJason McGeeüIBM Fellow, IBM
f2f331ad8f573c0ec43b174b06c84798üWilliam MorganüCEO, Buoyant
f2f331ad8f573c0ec43b174b06c84798üLouis RyanüPrincipal Software Engineer, Google
900c8f68a63f7707e4367c17e4758af5üJanet KuoüSoftware Engineer, Google
89990fc7f4a593dd706fb0b58774c019üGabe MonroyüPartner Program Manager, Microsoft
dc79678976f980a3e1f1c99962fd76ecüJanet KuoüSoftware Engineer, Google
569c891963691b7a15ee9382c1184675üJoe BedaüPrincipal Engineer, VMware
dde6900b24bc8669906e8218b30cc5f9üRicardo RochaüComputing Engineer, CERN
dde6900b24bc8669906e8218b30cc5f9üLukas HeinrichüPhysicist, CERN
171d15d282e98a3d23a973d6665e59deüRob SzumskiüPrincipal Product Manager for OpenShift, Red Hat
ad0016fc8735d0fc745459e0bb508f51üCheryl HungüDirector of Ecosystem, CNCF
1e8d415abcd274d046d729b904654cdbüJanet KuoüSoftware Engineer, Google
ab7733229e6711b39e454c5670a6d0ffüJoab JacksonüManaging Editor, The New Stack
ab7733229e6711b39e454c5670a6d0ffüAlex WilliamsüFounder & Editor-in-Chief, The New Stack
ab7733229e6711b39e454c5670a6d0ffüPere MonclusüCTO, Network & Security, VMware
1b7e782dbbe7f677f8bf27fbd7181593üBryan LilesüSenior Staff Engineer, VMware
eb74b05763e1f348b5376ed5e7594843üDavid XiaüInfrastructure Engineer, Spotify
7cd22421ed299ff8b7f1eedd8be98d15üBob QuillinüVP Developer Relations, Oracle Cloud
be106775f2a64f8c846c96f42e162ddaüKatie GamanjiüCloud Platform Engineer, Condé Nast
34ec0411391dbcbed6bc69ca8222a557üJason McGeeüIBM Fellow, IBM
893714a2bb87d7ff3112bf6a9c78710aüSaad AliüSenior Software Engineer, Google
98395ab64444de2b3d3402385f0e73f6üBryan LilesüSenior Staff Engineer, VMware
5ca6bf4049d71784fe26ad9c9d4cc461üRalph SquillaceüPrincipal Program Manager, Microsoft
5ca6bf4049d71784fe26ad9c9d4cc461üIvan TowlsonüPrincipal Software Engineer, Microsoft
904e4f9eda7b6a36f2f2113a0291766cüLiron LevinüChief architect, Twistlock
904e4f9eda7b6a36f2f2113a0291766cüAriel ZelivanskyüSecurity Research Team Lead, Twistlock
b21864038538dfa0a473a61488e48dbeüCheryl HungüDirector of Ecosystem, CNCF
dbe68a00a2577bcda186927ff969bf8eüStefan SchimanskiüPrincipal Software Engineer, Red Hat
