TalkId;Name;Role
VM1808:9 d57f2a06b7aab52ca2cd88019ac3aeee;Gregory Haynes;Open Source Cloud Software Engineer, IBM
VM1808:9 aabb645a3e7daf1233dfa91b62957508;Chris Hoge;Senior Strategic Program Manager, OpenStack Foundation
VM1808:9 aabb645a3e7daf1233dfa91b62957508;Fabio Rapposelli;Staff Software Engineer, VMware
VM1808:9 7206d5d6450175157ee7c4ff5edd0d95;Ash Narkar;Software Engineer, Styra Inc.
VM1808:9 e8deeb70a46e5f7aecbe8fe53aac5999;Erwin van Eyk;Software Engineer, Platform9
VM1808:9 95ec97607768496eb449b84f6d9e498c;Alex Leong;Software Engineer, Buoyant
VM1808:9 4eb22c6d09bff25e23e73a0d6a702d28;Jussi Nummelin;Developer Advocate, Kontena Inc.
VM1808:9 84169975ed4246e035f19bc0e9a4bb7b;Sachin Manpathak;Technical Lead, Platform9
VM1808:9 84169975ed4246e035f19bc0e9a4bb7b;Flavius Mecea;Software Engineer, Presslabs
VM1808:9 f033a54420564d622024db00bc4e9c3d;Christoph Blecker;Senior Site Reliability Engineer, Red Hat
VM1808:9 f033a54420564d622024db00bc4e9c3d;Erick Fejta;Staff Software Engineer, Google
VM1808:9 b1cb9a50d3c19eeeefe7dc6e7031cbd5;Maria Ntalla;Engineering Manager, Pivotal
VM1808:9 05b12162156c021666c7b5dea7d5e744;Ilan Filonenko;Software Engineer, Bloomberg
VM1808:9 e727a4d0ec598dc2f225f38fef7b4040;Sławomir Chyłek;Software Engineer, Google
VM1808:9 e727a4d0ec598dc2f225f38fef7b4040;Aleksandra Malinowska;Software Engineer, Google
VM1808:9 1fc577b5e246313f9fedaea18ce31d23;Cindy Xing;Senior Cloud Software Architect 高级云软件架构师, Futurewei
VM1808:9 dc3ef3812a87d0409e3df180af3ae014;Jonathan Perry;CEO / Co-founder, Flowmill, Inc.
VM1808:9 2f892848ace88f6f608f9eebd976bb9d;Shyam Jeedigunta;Software Engineer, Amazon
VM1808:9 2f892848ace88f6f608f9eebd976bb9d;Yassine TIJANI;Member of Technical Staff, VMware
VM1808:9 e52a4da9876034253711f5a05907bb18;Eric Lin;Senior Software Engineer, Alibaba
VM1808:9 970be4fe328e443ecc841ded5b0f6fda;Anubhav Mishra;Developer Advocate, HashiCorp
VM1808:9 970be4fe328e443ecc841ded5b0f6fda;Rita Zhang;Principal Software Engineer, Microsoft
VM1808:9 78e9febc060209d6d05394d6b991d038;Ying Chun Guo;Software Engineer, IBM
VM1808:9 78e9febc060209d6d05394d6b991d038;Shaojun Ding;Software Engineer, IBM
VM1808:9 943f9083d40347b392bac34ed6133c99;John Joyce;Principal Engineer, Cisco Systems
VM1808:9 943f9083d40347b392bac34ed6133c99;Tim Swanson;Senior Technical Leader, Cisco
VM1808:9 a47afd9fdc56ba10640e231dc88ad84d;Mike Brown;Containerd Maintainer, IBM
VM1808:9 a47afd9fdc56ba10640e231dc88ad84d;Wei Fu;Software Engineer, Alibaba
VM1808:9 553fada275c50f921e6f27623b29ed1b;Rael Garcia Arnes;Site Reliability Engineer, CAPSiDE
VM1808:9 553fada275c50f921e6f27623b29ed1b;Zach Corleissen;Lead Technical Writer, Linux Foundation
VM1808:9 1e147c41e7c26236447f03e5585027ab;Tim Hockin;Principal Software Engineer, Google
VM1808:9 1835bec967c9728bf92d3ffcb09cfc08;Aaron Crickenberger;Senior Test Engineer, Google
VM1808:9 1835bec967c9728bf92d3ffcb09cfc08;William Denniss;Product Manager, Google
VM1808:9 1835bec967c9728bf92d3ffcb09cfc08;Hippie Hacker;Software Engineer, ii.coop
VM1808:9 1835bec967c9728bf92d3ffcb09cfc08;Dan Kohn;Executive Director, Cloud Native Computing Foundation
VM1808:9 d1577ac91b685ec539c45c607debcb31;Maru Newby;Software Developer, Red Hat
VM1808:9 d1577ac91b685ec539c45c607debcb31;Irfan Ur Rehman;Senior Engineer, Huawei
VM1808:9 4442e3011f8a7243be99f831e321d1ac;Quinton Hoole;Technical Vice President, Futurewei
VM1808:9 4442e3011f8a7243be99f831e321d1ac;Irene Zhang;Researcher, Microsoft Research & University of Washington
VM1808:9 cad2ad7d110b35859be3ea487d11d3e3;Arnaud Caron;Cloud Transformation Portfolio Manager, Mediakind
VM1808:9 cad2ad7d110b35859be3ea487d11d3e3;Jerome Champetier;Senior Technology Architect, Mediakind
VM1808:9 3ad948679243c5b1a4be92206089cd31;Josh Hoak;Software Engineer, Google
VM1808:9 3ad948679243c5b1a4be92206089cd31;Kobi Magnezi;Product Manager, Google
VM1808:9 f369a27979d02f3508f1893d44c53bda;Aaron Crickenberger;Senior Test Engineer, Google
VM1808:9 f369a27979d02f3508f1893d44c53bda;Rithu Leena;Senior Software Engineer, Lyft
VM1808:9 f369a27979d02f3508f1893d44c53bda;Ashley McNamara;Cloud Developer Advocate, Microsoft
VM1808:9 f369a27979d02f3508f1893d44c53bda;Stephen Augustus;Sr. Cloud Native Architect, VMware
VM1808:9 f369a27979d02f3508f1893d44c53bda;Noah Kantrowitz;Infrastructure Team Lead, Ridecell
VM1808:9 6e1968a7e53281c1ae2355b989f1eea2;(Haining Henry) Zhang;Technical Director, VMware
VM1808:9 6e1968a7e53281c1ae2355b989f1eea2;Yang Yu;Software Engineer, VMware
VM1808:9 2a0ec4e5cd11b9b783deb72d366fd3e0;David Eads;Senior Principal Software Engineer, Red Hat
VM1808:9 2a0ec4e5cd11b9b783deb72d366fd3e0;Daniel Smith;Staff Software Engineer, Google
VM1808:9 481401f047514427bcba04951bbbe5f7;Matt Fisher;Software Engineer, Microsoft
VM1808:9 481401f047514427bcba04951bbbe5f7;Adam Reese;Software Engineer, Microsoft
VM1808:9 31b6d1cf5eef71fdcad72091c4a01962;Babak Salamat;Staff Software Engineer, Google
VM1808:9 80bd26a1d99a213b1dad4c0a4d3aeedd;David Kaltschmidt;Director of UX, Grafana Labs
VM1808:9 4eccbf68c65585f1d2dc829f99785265;Bowei Du;Staff Software Engineer, Google
VM1808:9 4eccbf68c65585f1d2dc829f99785265;Laurent Bernaille;Staff Engineer, Datadog
VM1808:9 60817f5d389f543ce6573b3022c494a4;Eran Yanay;Team Lead, Twistlock
VM1808:9 db7b4ff3e205707eb107362e18e60d19;Daniel Feldman;Software Engineer, Scytale
VM1808:9 db7b4ff3e205707eb107362e18e60d19;Tyler Julian;Security Engineer, Uber
VM1808:9 baf0c69570a40a6ea3f67b9d00db5af2;Alex Glikson;Senior Cloud Research Architect, Carnegie Mellon University
VM1808:9 879ba9ef0a5bad7a83b31c75eb854be5;Matt Turner;CTO, Native Wave
